name,Fault_ID
akatore,805
backbone,795
beaumontriver,792
billysridge,785
cardrona-hawea,808
cluden,770
crosseden,776
dunbackhill,788
dunstan,771
flatstream-glenpark,790
galloway,780
garibaldi,774
gimmerburn,775
goodger,768
grandview,767
greenisland,802
horseflat,783
hydenorth,779
hydesouth-thetwins,794
kaikorai,799
lakeonslow,789
lindisriver,766
littlevalley,781
loganburn,791
longvalley,784
maungatua-northtaieri,798
motatapu,807
murphyscreek,787
nicholsrock,796
nwcardronanorth,809
nwcardronasouth,810
paddysridge,769
pisa,772
pylap,786
raggedy-blackstone,773
ranfurly,777
roaringmeg,811
sliverstream-merton,793
takapu,801
timarucreek,765
titrisouth,806
titricombined,797
waipiata,778
waitahuna1,800